s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2987677E-005,-1.1102230E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2987677E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-1.0383341E-007,-1.7238981E-004, 0.0000000E+000,-8.6041068E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0329043E-003, 0.0000000E+000, 5.5379890E-004, 0.0000000E+000
 2.3498102E-001, 1.9912670E+001, 0.0000000E+000,-9.9559279E-008, 3.4316438E-001, 5.4672694E-009,-9.8678064E-004, 0.0000000E+000, 0.0000000E+000,-1.5060429E-003, 2.0254847E+001, 0.0000000E+000, 1.0516047E-003, 0.0000000E+000
 3.5247153E-001, 1.8678349E+001, 0.0000000E+000,-3.5216872E-001, 3.0657891E-001,-2.1915177E-002,-5.2670781E-003, 0.0000000E+000, 0.0000000E+000, 1.9828120E+001, 1.8605577E+001, 0.0000000E+000, 1.4579903E-003, 0.0000000E+000
 4.6996203E-001, 9.3701358E+001, 0.0000000E+000,-4.0251111E+000, 1.4402891E+000,-4.9595180E-002,-4.4606797E-003, 0.0000000E+000, 0.0000000E+000, 1.8582814E+001, 9.1062480E+001, 0.0000000E+000, 1.7644497E-003, 0.0000000E+000
 5.3475440E-001, 9.6991392E+001, 0.0000000E+000,-5.7872697E+001, 6.8806486E-001,-1.3476076E-001,-6.5657138E-003, 0.0000000E+000, 0.0000000E+000, 8.8694890E+001, 3.9665433E+001, 0.0000000E+000, 1.8942626E-003, 0.0000000E+000
 5.9954673E-001, 1.0623948E+002, 0.0000000E+000,-3.7692607E+001, 1.0870785E+000,-1.0069496E-001,-9.1295744E-003, 0.0000000E+000, 0.0000000E+000, 3.9759023E+001, 6.9524126E+001, 0.0000000E+000, 2.0001070E-003, 0.0000000E+000
 6.5541244E-001, 9.7738603E+001, 0.0000000E+000,-6.4091527E+001, 5.8646370E-001,-1.2392978E-001,-9.8283016E-003, 0.0000000E+000, 0.0000000E+000, 6.8986336E+001, 3.4099782E+001, 0.0000000E+000, 2.0747616E-003, 0.0000000E+000
 7.1127814E-001, 1.0514212E+002, 0.0000000E+000,-4.1668936E+001, 1.0435163E+000,-9.1950443E-002,-1.0750782E-002, 0.0000000E+000, 0.0000000E+000, 3.3836968E+001, 6.4414001E+001, 0.0000000E+000, 2.1363144E-003, 0.0000000E+000
 7.5842935E-001, 9.4294324E+001, 0.0000000E+000,-3.8984575E+001, 9.3073655E-001,-8.9539534E-002,-1.1149634E-002, 0.0000000E+000, 0.0000000E+000, 6.4309371E+001, 5.6139796E+001, 0.0000000E+000, 2.1795568E-003, 0.0000000E+000
 8.0558056E-001, 1.0573056E+002, 0.0000000E+000,-4.3271329E+001, 1.0440752E+000,-9.5694988E-002,-1.1603472E-002, 0.0000000E+000, 0.0000000E+000, 5.6049641E+001, 6.3396007E+001, 0.0000000E+000, 2.2159954E-003, 0.0000000E+000
 8.4400940E-001, 1.1914208E+002, 0.0000000E+000,-4.8183113E+001, 1.1743921E+000,-8.9969095E-002,-1.1753624E-002, 0.0000000E+000, 0.0000000E+000, 6.3328072E+001, 7.2031637E+001, 0.0000000E+000, 2.2413466E-003, 0.0000000E+000
 8.7694734E-001, 1.3337543E+002, 0.0000000E+000,-4.6834762E+001, 1.4138516E+000,-8.5763728E-002,-1.1851299E-002, 0.0000000E+000, 0.0000000E+000, 7.1858677E+001, 8.7856902E+001, 0.0000000E+000, 2.2603612E-003, 0.0000000E+000
 9.0177029E-001, 1.4220947E+002, 0.0000000E+000,-5.5821248E+001, 1.4292227E+000,-8.1605759E-002,-1.1863479E-002, 0.0000000E+000, 0.0000000E+000, 8.7716043E+001, 8.7723977E+001, 0.0000000E+000, 2.2732115E-003, 0.0000000E+000
 9.2659324E-001, 1.4134294E+002, 0.0000000E+000,-5.6227407E+001, 1.4249751E+000,-8.2195878E-002,-1.1904882E-002, 0.0000000E+000, 0.0000000E+000, 8.7511230E+001, 8.6446409E+001, 0.0000000E+000, 2.2849084E-003, 0.0000000E+000
 9.5141619E-001, 1.3506913E+002, 0.0000000E+000,-5.0651909E+001, 1.4203165E+000,-7.9710851E-002,-1.1912328E-002, 0.0000000E+000, 0.0000000E+000, 8.6281507E+001, 8.5745911E+001, 0.0000000E+000, 2.2955503E-003, 0.0000000E+000
 9.7221023E-001, 1.3238976E+002, 0.0000000E+000,-4.6138484E+001, 1.4462495E+000,-7.7642597E-002,-1.1883975E-002, 0.0000000E+000, 0.0000000E+000, 8.5554368E+001, 8.7607998E+001, 0.0000000E+000, 2.3037193E-003, 0.0000000E+000
 9.9300426E-001, 1.2696209E+002, 0.0000000E+000,-4.2155820E+001, 1.4270400E+000,-7.5405055E-002,-1.1843276E-002, 0.0000000E+000, 0.0000000E+000, 8.7465669E+001, 8.6146061E+001, 0.0000000E+000, 2.3112615E-003, 0.0000000E+000
 1.0137984E+000, 1.2299690E+002, 0.0000000E+000,-3.6526624E+001, 1.4530988E+000,-7.4150382E-002,-1.1799206E-002, 0.0000000E+000, 0.0000000E+000, 8.6105482E+001, 8.7837425E+001, 0.0000000E+000, 2.3182231E-003, 0.0000000E+000
 1.0345924E+000, 1.1968807E+002, 0.0000000E+000,-3.3881261E+001, 1.4252621E+000,-7.4078807E-002,-1.1780153E-002, 0.0000000E+000, 0.0000000E+000, 8.7673481E+001, 8.7146213E+001, 0.0000000E+000, 2.3246474E-003, 0.0000000E+000
 1.0516325E+000, 1.1839541E+002, 0.0000000E+000,-3.2068730E+001, 1.4233346E+000,-7.4986091E-002,-1.1760103E-002, 0.0000000E+000, 0.0000000E+000, 8.6994748E+001, 8.7663268E+001, 0.0000000E+000, 2.3295395E-003, 0.0000000E+000
